imbd_title_id,Original Title ,Release year,Type,Duration,Country,Content RatinR,Director,Income,Votes,Score
TT0111161,The Shawshank Redemption,02/10/95,Drama,142,Usa,R,Frank Darabont,"28,815,245.00","2,278,845",9.3
TT0068646,The Godfather,09/12/72,"Crime, Drama",175,Usa,R,Francis Ford Coppola,"246,120,974.00","1,572,674",9.2
TT0468569,The Dark Knight,03/12/08,"Action, Crime, Drama",152,Us,R,Christopher Nolan,"1,005,455,211.00","2,241,615",9
TT0071562,The Godfather: Part Ii,09/25/75,"Crime, Drama",220,Usa,R,Francis Ford Coppola,"408,035,783.00","1,098,714",9
TT0110912,Pulp Fiction,10/28/94,"Crime, Drama",187,Usa,R,Quentin Tarantino,"222,831,817.00","1,780,147",8.9
TT0167260,The Lord Of The Rings: The Return Of The King,02/22/04,"Action, Adventure, Drama",201,New Zealand,R,Peter Jackson,"1,142,271,098.00","1,604,280",8.9
TT0108052,Schindler'S List,03/11/94,"Biography, Drama, History",123,Usa,R,Steven Spielberg,"322,287,794.00","1,183,248",8.9
TT0050083,12 Angry Men,09/04/57,"Crime, Drama",96,Usa,R,Sidney Lumet,576.00,"668,473",8.9
TT1375666,Inception,09/24/10,"Action, Adventure, Sci-Fi",148,Usa,R,Christopher Nolan,"869,784,991.00","2,002,816",8.8
TT0137523,Fight Club,10/29/99,Drama,313,Uk,R,David Fincher,"101,218,804.00","1,807,440",8.8
TT0109830,Forrest Gump,10/06/94,"Drama, Romance",142,Usa,R,Robert Zemeckis,"678,229,452.00","1,755,490",9
TT0120737,The Lord Of The Rings: The Fellowship Of The Ring,01/18/02,"Action, Adventure, Drama",178,New Zesland,R,Peter Jackson,"887,934,303.00","1,619,920",8.8
TT0060196,"Il Buono, Il Brutto, Il Cattivo",12/13/18,Western,161,Italy,R,Sergio Leone,"25,252,481.00","672,499",8.8
TT0027977,12 Angry Men,05/19/00,Drama,116,Usa,R,Christopher Nolan,"1,005,455,211.00","1,007,598",8.6
TT0133093,The Matrix,05/07/99,"Action, Sci-Fi",116,Usa,R,"Lana Wachowski, Lilly Wachowski","465,718,588.00","1,632,315",8.7
TT0167261,The Lord Of The Rings: The Two Towers,01/16/03,"Action, Adventure, Drama",179,New Zeland,R,Peter Jackson,"951,227,416.00","1,449,778",8.7
TT0080684,Star Wars: Episode V - The Empire Strikes Back,09/19/80,"Action, Adventure, Fantasy",988,Usa,R,Irvin Kershner,"549,265,501.00","1,132,073",8.7
TT0099685,Goodfellas,09/20/90,"Biography, Crime, Drama",146,Usa,R,Martin Scorsese,"46,879,633.00","991,505",8.7
TT0073486,One Flew Over The Cuckoo'S Nest,12/23/78,Drama,231,Usa,R,Milos Forman,"108,997,629.00","891,071",8.7
TT0816692,Interstellar,11/06/14,"Adventure, Drama, Sci-Fi",169,Usa,R,Christopher Nolan,"696,742,056.00","1,449,256",8.6
