"customerid","Contract","MonthlyCharges","tenure","Churn","risk_segment"
"7590-VHVEG","Month-to-month","29.85","1","No","medium risk"
"5575-GNVDE","One year","56.95","34","No","stable"
"3668-QPYBK","Month-to-month","53.85","2","Yes","churned"
"7795-CFOCW","One year","42.3","45","No","stable"
"9237-HQITU","Month-to-month","70.7","2","Yes","churned"
"9305-CDSKC","Month-to-month","99.65","8","Yes","churned"
"1452-KIOVK","Month-to-month","89.1","22","No","medium risk"
"6713-OKOMC","Month-to-month","29.75","10","No","medium risk"
"7892-POOKP","Month-to-month","104.8","28","Yes","churned"
"6388-TABGU","One year","56.15","62","No","stable"
"9763-GRSKD","Month-to-month","49.95","13","No","medium risk"
"7469-LKBCI","Two year","18.95","16","No","stable"
"8091-TTVAX","One year","100.35","58","No","stable"
"0280-XJGEX","Month-to-month","103.7","49","Yes","churned"
"5129-JLPIS","Month-to-month","105.5","25","No","medium risk"
"3655-SNQYZ","Two year","113.25","69","No","stable"
"8191-XWSZG","One year","20.65","52","No","stable"
"9959-WOFKT","Two year","106.7","71","No","stable"
"4190-MFLUW","Month-to-month","55.2","10","Yes","churned"
"4183-MYFRB","Month-to-month","90.05","21","No","medium risk"
"8779-QRDMV","Month-to-month","39.65","1","Yes","churned"
"1680-VDCWW","One year","19.8","12","No","stable"
"1066-JKSGK","Month-to-month","20.15","1","Yes","churned"
"3638-WEABW","Two year","59.9","58","No","stable"
"6322-HRPFA","Month-to-month","59.6","49","No","medium risk"
"6865-JZNKO","Month-to-month","55.3","30","No","medium risk"
"6467-CHFZW","Month-to-month","99.35","47","Yes","churned"
"8665-UTDHZ","Month-to-month","30.2","1","Yes","churned"
"5248-YGIJN","Two year","90.25","72","No","stable"
"8773-HHUOZ","Month-to-month","64.7","17","Yes","churned"
"3841-NFECX","Two year","96.35","71","No","stable"
"4929-XIHVW","Month-to-month","95.5","2","No","high risk"
"6827-IEAUQ","One year","66.15","27","No","stable"
"7310-EGVHZ","Month-to-month","20.2","1","No","medium risk"
"3413-BMNZE","Month-to-month","45.25","1","No","medium risk"
"6234-RAAPL","Two year","99.9","72","No","stable"
"6047-YHPVI","Month-to-month","69.7","5","Yes","churned"
"6572-ADKRS","Month-to-month","74.8","46","No","medium risk"
"5380-WJKOV","Month-to-month","106.35","34","Yes","churned"
"8168-UQWWF","Month-to-month","97.85","11","Yes","churned"
"8865-TNMNX","One year","49.55","10","No","stable"
"9489-DEDVP","Two year","69.2","70","No","stable"
"9867-JCZSP","One year","20.75","17","No","stable"
"4671-VJLCL","Two year","79.85","63","No","stable"
"4080-IIARD","Month-to-month","76.2","13","No","medium risk"
"3714-NTNFO","Month-to-month","84.5","49","No","medium risk"
"5948-UJZLF","Month-to-month","49.25","2","No","medium risk"
"7760-OYPDY","Month-to-month","80.65","2","Yes","churned"
"7639-LIAYI","Two year","79.75","52","No","stable"
"2954-PIBKO","Two year","64.15","69","No","stable"
"8012-SOUDQ","Month-to-month","90.25","43","No","medium risk"
"9420-LOJKX","Month-to-month","99.1","15","Yes","churned"
"6575-SUVOI","Month-to-month","69.5","25","No","medium risk"
