"customerid","gender","Contract","tenure","MonthlyCharges","PaymentMethod","risk_level"
"7569-NMZYQ","Female","Two year","72","118.75","Bank transfer (automatic)","Low/Medium Risk"
"8984-HPEMB","Female","Two year","71","118.65","Electronic check","Low/Medium Risk"
"5734-EJKXG","Female","One year","61","118.6","Electronic check","Low/Medium Risk"
"5989-AXPUC","Female","Two year","68","118.6","Mailed check","Low/Medium Risk"
"9924-JPRMC","Male","Two year","72","118.2","Electronic check","Low/Medium Risk"
"3810-DVDQQ","Female","Two year","72","117.6","Bank transfer (automatic)","Low/Medium Risk"
"9739-JLPQJ","Female","Two year","72","117.5","Credit card (automatic)","Low/Medium Risk"
"6904-JLBGY","Female","Two year","72","117.35","Credit card (automatic)","Low/Medium Risk"
"4282-MSACW","Male","One year","68","117.2","Credit card (automatic)","Low/Medium Risk"
"6650-BWFRT","Female","Two year","72","117.15","Credit card (automatic)","Low/Medium Risk"
"9788-HNGUT","Male","Two year","72","116.95","Credit card (automatic)","Low/Medium Risk"
"1488-PBLJN","Female","Two year","72","116.85","Bank transfer (automatic)","Low/Medium Risk"
"0017-IUDMW","Female","Two year","72","116.8","Credit card (automatic)","Low/Medium Risk"
"8628-MFKAX","Female","Two year","72","116.75","Credit card (automatic)","Low/Medium Risk"
"3258-ZKPAI","Male","Two year","72","116.6","Bank transfer (automatic)","Low/Medium Risk"
"3680-CTHUH","Male","One year","60","116.6","Credit card (automatic)","Low/Medium Risk"
"3795-CAWEX","Male","Two year","70","116.55","Credit card (automatic)","Low/Medium Risk"
"8016-NCFVO","Male","Month-to-month","55","116.5","Electronic check","Low/Medium Risk"
"3963-RYFNS","Female","Two year","72","116.45","Bank transfer (automatic)","Low/Medium Risk"
"0675-NCDYU","Female","Two year","72","116.4","Credit card (automatic)","Low/Medium Risk"
"0186-CAERR","Male","One year","71","116.3","Bank transfer (automatic)","Low/Medium Risk"
"4374-YMUSQ","Male","One year","34","116.25","Credit card (automatic)","Low/Medium Risk"
"4868-AADLV","Male","One year","66","116.25","Electronic check","Low/Medium Risk"
"8879-XUAHX","Male","Two year","71","116.25","Electronic check","Low/Medium Risk"
"9695-IDRZR","Female","Two year","34","116.15","Credit card (automatic)","Low/Medium Risk"
"8975-SKGRX","Male","Two year","71","116.1","Bank transfer (automatic)","Low/Medium Risk"
"7923-IYJWY","Male","Two year","67","116.1","Credit card (automatic)","Low/Medium Risk"
"2223-GDSHL","Male","Two year","71","116.05","Bank transfer (automatic)","Low/Medium Risk"
"1480-BKXGA","Male","Two year","72","116.05","Bank transfer (automatic)","Low/Medium Risk"
"8261-GWDBQ","Female","Two year","60","116.05","Bank transfer (automatic)","Low/Medium Risk"
"0106-UGRDO","Female","Two year","69","116","Electronic check","Low/Medium Risk"
"1741-WTPON","Male","Two year","56","115.85","Mailed check","Low/Medium Risk"
"8513-OLYGY","Male","Two year","72","115.8","Credit card (automatic)","Low/Medium Risk"
"0052-DCKON","Male","One year","66","115.8","Bank transfer (automatic)","Low/Medium Risk"
"6007-TCTST","Female","Two year","72","115.8","Bank transfer (automatic)","Low/Medium Risk"
"5914-XRFQB","Male","Two year","72","115.8","Bank transfer (automatic)","Low/Medium Risk"
"5451-YHYPW","Female","Two year","72","115.75","Credit card (automatic)","Low/Medium Risk"
"8606-CIQUL","Male","Two year","72","115.75","Credit card (automatic)","Low/Medium Risk"
"9659-QEQSY","Female","Month-to-month","45","115.65","Electronic check","Low/Medium Risk"
"1352-HNSAW","Female","Two year","72","115.6","Bank transfer (automatic)","Low/Medium Risk"
"0442-ZXKVS","Female","One year","54","115.6","Bank transfer (automatic)","Low/Medium Risk"
"8480-PPONV","Male","Two year","62","115.55","Bank transfer (automatic)","Low/Medium Risk"
"2121-JAFOM","Female","Two year","72","115.55","Credit card (automatic)","Low/Medium Risk"
"8263-QMNTJ","Male","Two year","72","115.55","Electronic check","Low/Medium Risk"
"9298-WGMRW","Female","Two year","72","115.5","Bank transfer (automatic)","Low/Medium Risk"
